case_title,case_title_raw,normalized_title,source_pdf,source_school,source_year,page_start,page_end,page_count,industry,case_type,case_type_raw,case_type_normalized,difficulty,difficulty_raw,difficulty_normalized,difficulty_quant,difficulty_qual,difficulty_math,difficulty_structure,difficulty_creativity,concepts_tested,difficulty_visual_present,difficulty_quant_category,firm,round,interviewer_led,is_new_case,is_duplicate_case,unique_case_count_eligible,canonical_case_title,duplicate_of_source_school,duplicate_of_source_year,duplicate_of_case_title,detection_method,extraction_confidence,needs_manual_review,output_pdf_path,difficulty_score,difficulty_rating,difficulty_rating_source,difficulty_notes,difficulty_source,difficulty_confidence,difficulty_model,industry_secondary,industry_notes,industry_source,industry_confidence,industry_model
Retirement Apartment Complex,Retirement Apartment Complex,retirement apartment complex,Booth/Booth 2026.pdf,Booth,2026.0,260,269,10,Real Estate,Profitability / Market Entry,Profitability / Market Entry,Profitability,Medium,Medium,Medium,,,,,,,,,Undisclosed,,,False,False,True,retirement apartment complex,,,,manual_override_booth_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Booth 2026\retirement-apartment-complex.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Warmouth Yachts,Warmouth Yachts,warmouth yachts,Booth/Booth 2026.pdf,Booth,2026.0,314,320,7,Retail / CPG,Legal Analysis,Legal Analysis,Other,Easy,Easy,Easy,,,,,,,,,Cornerstone Research,,,False,False,True,warmouth yachts,,,,manual_override_booth_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Booth 2026\warmouth-yachts.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
Shoe Co.,Shoe Co.,shoe co,Booth/Booth 2026.pdf,Booth,2026.0,333,339,7,Retail / CPG,Market Entry,Market Entry,Market Entry,Easy,Easy,Easy,,,,,,,,,Bain,,,False,False,True,shoe co,,,,manual_override_booth_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Booth 2026\shoe-co.pdf,3.5,Easy,difficulty_normalized,,,,,,,,,
Craft Co.,Craft Co.,craft co,Booth/Booth 2026.pdf,Booth,2026.0,340,344,5,Retail / CPG,Profitability,Profitability,Profitability,Medium,Medium,Medium,,,,,,,,,EY-Parthenon,,,False,False,True,craft co,,,,manual_override_booth_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Booth 2026\craft-co.pdf,5.5,Medium,difficulty_normalized,,,,,,,,,
Telecom Co.,Telecom Co.,telecom co,Booth/Booth 2026.pdf,Booth,2026.0,345,373,29,Telecom,Market Entry,Market Entry,Market Entry,Hard,Hard,Hard,,,,,,,,,Bain,,,False,False,True,telecom co,,,,manual_override_booth_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Booth 2026\telecom-co.pdf,8.5,Hard,difficulty_normalized,,,,,,,,,
Sticky Surfactants,Sticky Surfactants,sticky surfactants,Booth/Darden 2024.pdf,Darden,2024.0,24,32,9,Chemicals & Materials,Profitability,Profitability,Profitability,1,1,Easy,1,1,,,,,,,,,,False,False,True,sticky surfactants,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\sticky-surfactants.pdf,3.5,Easy,overall_1_3,,,,,,,,,
Pedal Pals,Pedal Pals,pedal pals,Booth/Darden 2024.pdf,Darden,2024.0,33,42,10,Technology,Cost Improvement,Cost Improvement,Cost Reduction,1,1,Easy,1,1,,,,,,,,,,False,False,True,pedal pals,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\pedal-pals.pdf,3.5,Easy,overall_1_3,,,,,,,,,
Seven Flags,Seven Flags,seven flags,Booth/Darden 2024.pdf,Darden,2024.0,43,52,10,Media & Entertainment,Pricing,Pricing,Pricing,1,1,Easy,2,1,,,,,,,,,,False,False,True,seven flags,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\seven-flags.pdf,3.5,Easy,overall_1_3,,,,,,,,,
Weasley's Wizarding Warehouse,Weasley's Wizarding Warehouse,weasley s wizarding warehouse,Booth/Darden 2024.pdf,Darden,2024.0,53,63,11,Retail / CPG,Market Entry,Market Entry,Market Entry,2,2,Medium,1,2,,,,,,,,,,False,False,True,weasley s wizarding warehouse,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\weasley-s-wizarding-warehouse.pdf,5.5,Medium,overall_1_3,,,,,,,,,
Jane Darden's Ranch,Jane Darden's Ranch,jane darden s ranch,Booth/Darden 2024.pdf,Darden,2024.0,64,73,10,Hospitality & Travel,Market Entry,Market Entry,Market Entry,2,2,Medium,2,2,,,,,,,,,,False,False,True,jane darden s ranch,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\jane-darden-s-ranch.pdf,5.5,Medium,overall_1_3,,,,,,,,,
PharmaCo,PharmaCo,pharmaco,Booth/Darden 2024.pdf,Darden,2024.0,74,81,8,Pharmaceuticals,M&A,M&A,M&A,2,2,Medium,3,2,,,,,,,,,,False,False,True,pharmaco,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\pharmaco.pdf,5.5,Medium,overall_1_3,,,,,,,,,
Circle Bubble,Circle Bubble,circle bubble,Booth/Darden 2024.pdf,Darden,2024.0,82,91,10,Manufacturing,Growth,Growth,Growth Strategy,2,2,Medium,3,2,,,,,,,,,,False,False,True,circle bubble,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\circle-bubble.pdf,5.5,Medium,overall_1_3,,,,,,,,,
Shisha: Just Blowing Smoke?,Shisha: Just Blowing Smoke?,shisha just blowing smoke,Booth/Darden 2024.pdf,Darden,2024.0,92,102,11,Public Sector,Market Entry,Market Entry,Market Entry,2,2,Medium,2,2,,,,,,,,,,False,False,True,shisha just blowing smoke,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\shisha-just-blowing-smoke.pdf,5.5,Medium,overall_1_3,,,,,,,,,
Entertainment Co.,Entertainment Co.,entertainment co,Booth/Darden 2024.pdf,Darden,2024.0,103,114,12,Media & Entertainment,M&A,M&A,M&A,2,2,Medium,2,2,,,,,,,,,,False,False,True,entertainment co,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\entertainment-co.pdf,5.5,Medium,overall_1_3,,,,,,,,,
Robots Inc.,Robots Inc.,robots inc,Booth/Darden 2024.pdf,Darden,2024.0,115,125,11,Technology,Growth,Growth,Growth Strategy,2,2,Medium,3,2,,,,,,,,,,False,False,True,robots inc,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\robots-inc.pdf,5.5,Medium,overall_1_3,,,,,,,,,
Opus Two,Opus Two,opus two,Booth/Darden 2024.pdf,Darden,2024.0,126,134,9,Retail / CPG,Market Sizing / Optimization,Market Sizing / Optimization,Operations,3,3,Hard,2,3,,,,,,,,,,False,False,True,opus two,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\opus-two.pdf,8.0,Hard,overall_1_3,,,,,,,,,
News Co.,News Co.,news co,Booth/Darden 2024.pdf,Darden,2024.0,135,145,11,Media & Entertainment,Diagnosis / Profitability,Diagnosis / Profitability,Profitability,3,3,Hard,3,3,,,,,,,,,,False,False,True,news co,,,,manual_override_darden_2024,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Darden 2024\news-co.pdf,8.0,Hard,overall_1_3,,,,,,,,,
MedTech Co.,MedTech Co.,medtech co,Booth/Fuqua 2026.pdf,Fuqua,2026.0,31,41,11,Healthcare,Profitability,Profitability,Profitability,,quant=Easy; qual=Medium,Easy,Easy,Medium,,,,,,,BCG,,,False,False,True,MedTech Co.,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\medtech-co.pdf,4.5,Easy,quant+qual_labels,,,,,,,,,
The Grass is Greener,The Grass is Greener,the grass is greener,Booth/Fuqua 2026.pdf,Fuqua,2026.0,42,52,11,Agriculture,Growth Strategy,Growth Strategy,Growth Strategy,,quant=Medium; qual=Medium,Medium,Medium,Medium,,,,,,,Bain,,,False,False,True,The Grass is Greener,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\the-grass-is-greener.pdf,5.5,Medium,quant+qual_labels,,,,,,,,,
BioPharma LOE,BioPharma LOE,biopharma loe,Booth/Fuqua 2026.pdf,Fuqua,2026.0,53,63,11,Pharmaceuticals,Cost Reduction,Cost Reduction,Cost Reduction,,quant=Difficult; qual=Difficult,Hard,Difficult,Difficult,,,,,,,BCG,,,False,False,True,BioPharma LOE,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\biopharma-loe.pdf,8.0,Hard,quant+qual_labels,,,,,,,,,
Breaking out of Boston,Breaking out of Boston,breaking out of boston,Booth/Fuqua 2026.pdf,Fuqua,2026.0,64,71,8,Real Estate,Market Entry,Market Entry,Market Entry,,quant=Easy; qual=Medium,Easy,Easy,Medium,,,,,,,McKinsey,,,False,False,True,Breaking out of Boston,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\breaking-out-of-boston.pdf,4.5,Easy,quant+qual_labels,,,,,,,,,
Big Fat Greek Problem,Big Fat Greek Problem,big fat greek problem,Booth/Fuqua 2026.pdf,Fuqua,2026.0,72,82,11,Hospitality & Travel,Growth Strategy,Growth Strategy,Growth Strategy,,quant=Difficult; qual=Difficult,Hard,Difficult,Difficult,,,,,,,D/L/Bain,,,False,False,True,Big Fat Greek Problem,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\big-fat-greek-problem.pdf,8.0,Hard,quant+qual_labels,,,,,,,,,
Fasten your Seatbelts,Fasten your Seatbelts,fasten your seatbelts,Booth/Fuqua 2026.pdf,Fuqua,2026.0,83,93,11,Hospitality & Travel,Operations,Operations,Operations,,quant=Difficult; qual=Medium,Hard,Difficult,Medium,,,,,,,BCG,,,False,False,True,Fasten your Seatbelts,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\fasten-your-seatbelts.pdf,6.8,Medium,quant+qual_labels,,,,,,,,,
Tiny Ripples Coffee Co.,Tiny Ripples Coffee Co.,tiny ripples coffee co,Booth/Fuqua 2026.pdf,Fuqua,2026.0,94,102,9,Food & Beverage,Profitability,Profitability,Profitability,,quant=Medium; qual=Difficult,Hard,Medium,Difficult,,,,,,,Bain,,,False,False,True,Tiny Ripples Coffee Co.,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\tiny-ripples-coffee-co.pdf,6.8,Medium,quant+qual_labels,,,,,,,,,
Pet Paws,Pet Paws,pet paws,Booth/Fuqua 2026.pdf,Fuqua,2026.0,103,113,11,Retail / CPG,M&A,M&A,M&A,,quant=Difficult; qual=Difficult,Hard,Difficult,Difficult,,,,,,,Bain,,,False,False,True,Pet Paws,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\pet-paws.pdf,8.0,Hard,quant+qual_labels,,,,,,,,,
AI in the Clouds,AI in the Clouds,ai in the clouds,Booth/Fuqua 2026.pdf,Fuqua,2026.0,114,124,11,Technology,Implementation,Implementation,Operations,,quant=Medium; qual=Difficult,Hard,Medium,Difficult,,,,,,,McKinsey,,,False,False,True,AI in the Clouds,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\ai-in-the-clouds.pdf,6.8,Medium,quant+qual_labels,,,,,,,,,
Lactose King,Lactose King,lactose king,Booth/Fuqua 2026.pdf,Fuqua,2026.0,125,134,10,Professional Services,Growth,Growth,Growth Strategy,,quant=Easy; qual=Easy,Easy,Easy,Easy,,,,,,,,,,False,False,True,Lactose King,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\lactose-king.pdf,3.5,Easy,quant+qual_labels,,,,,,,,,
Born for Beauty,Born for Beauty,born for beauty,Booth/Fuqua 2026.pdf,Fuqua,2026.0,135,144,10,Retail / CPG,Growth,Growth,Growth Strategy,,quant=Easy; qual=Easy,Easy,Easy,Easy,,,,,,,,,,False,False,True,Born for Beauty,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\born-for-beauty.pdf,3.5,Easy,quant+qual_labels,,,,,,,,,
MotherTech,MotherTech,mothertech,Booth/Fuqua 2026.pdf,Fuqua,2026.0,145,155,11,Healthcare,M&A,M&A,M&A,,quant=Medium; qual=Medium,Medium,Medium,Medium,,,,,,,,,,False,False,True,MotherTech,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\mothertech.pdf,5.5,Medium,quant+qual_labels,,,,,,,,,
Bumpers R Us,Bumpers R Us,bumpers r us,Booth/Fuqua 2026.pdf,Fuqua,2026.0,156,164,9,Manufacturing,Operations,Operations,Operations,,quant=Easy; qual=Medium,Easy,Easy,Medium,,,,,,,,,,False,False,True,Bumpers R Us,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\bumpers-r-us.pdf,4.5,Easy,quant+qual_labels,,,,,,,,,
A-Plus School District,A-Plus School District,a plus school district,Booth/Fuqua 2026.pdf,Fuqua,2026.0,165,174,10,Education,Other,Other,Other,,quant=Medium; qual=Medium,Medium,Medium,Medium,,,,,,,,,,False,False,True,A-Plus School District,,,,manual_override_fuqua_2026,1.0,False,C:\Users\Dan\Desktop\Case Repo\output\cases\Booth\Fuqua 2026\a-plus-school-district.pdf,5.5,Medium,quant+qual_labels,,,,,,,,,
