id,case_title,source_pdf,source_folder,source_school,source_year,page_start,page_end,page_count,output_pdf_path,extraction_confidence,detection_method,needs_manual_review,industry,case_type,difficulty_overall,difficulty_quant,difficulty_qual,interviewer_style,prompt_excerpt,matched_toc_title,matched_start_page_text,matched_patterns,confidence_notes,review_flags
5c9d74f7-cb88-436e-b8d4-9cc5ba9e64d7,Retirement Apartment Complex,Booth/Booth 2026.pdf,Booth,booth,2026,260,269,10,cases/Booth/Booth 2026/retirement-apartment-complex.pdf,1.0,manual_override_booth_2026,False,Industrials,M&A,HEAVY,,,,"Interviewer Guidance
Case Development
Case Evaluation
Client Type
Industry
Case Type
S       O      A      R
1
2
1
2
1
2
1
2
Fit Evaluation
Overall Fit Performance
1. Framework
2. Profitability analysis: Costs
3. Operations analysis: 
Distributors
4. Recommendations
Case #33: Skylight Goods (1/10)
B",Retirement Apartment Complex,,manual_ground_truth_index,"Ground-truth Index of Practice Cases: exact page ranges, no heuristics.",
b13feb85-a29f-40d8-82cb-52c19e575d4a,Warmouth Yachts,Booth/Booth 2026.pdf,Booth,booth,2026,314,320,7,cases/Booth/Booth 2026/warmouth-yachts.pdf,1.0,manual_override_booth_2026,False,Retail / CPG,M&A,LIGHT,,,,"Interviewer Guidance
Case Development
Case Evaluation
Client Type
Industry
Case Type
S       O      A      R
1
2
1
2
1
2
1
2
Fit Evaluation
Overall Fit Performance
1. Case Prompt
2. Evaluating Stock Price 
Drop
3. Evaluating Net Income
4. Calculating Damages 
5. Conclusion
Case #40: Yarmouth Yachts",Warmouth Yachts,,manual_ground_truth_index,"Ground-truth Index of Practice Cases: exact page ranges, no heuristics.",
fea6ea1c-29ee-40dd-b267-b9a13e0424d3,Shoe Co.,Booth/Booth 2026.pdf,Booth,booth,2026,333,339,7,cases/Booth/Booth 2026/shoe-co.pdf,1.0,manual_override_booth_2026,False,Retail / CPG,Profitability,MEDIUM,,,,"Interviewer Guidance
Case Development
Case Evaluation
Client Type
Industry
Case Type
S       O      A      R
1
2
1
2
1
2
1
2
Fit Evaluation
Overall Fit Performance
1. Framework
2. Profitability analysis
3. Brainstorm
4. Final recommendation
Case #43: Shoe Co. (1/7)
BAIN– unknown – Candidate Driven
1",Shoe Co.,,manual_ground_truth_index,"Ground-truth Index of Practice Cases: exact page ranges, no heuristics.",
06a89ea2-3cf1-4fc6-a6e3-595bce9b530e,Craft Co.,Booth/Booth 2026.pdf,Booth,booth,2026,340,344,5,cases/Booth/Booth 2026/craft-co.pdf,1.0,manual_override_booth_2026,False,Retail / CPG,Growth,MEDIUM,,,,"Interviewer Guidance
Case Development
Case Evaluation
Client Type
Industry
Case Type
S       O      A      R
1
2
1
2
1
2
1
2
Fit Evaluation
Overall Fit Performance
1. Framework
2. Profitability analysis
3. Brainstorm
4. Final recommendation
Case #44: Craft Co. (1/5)
EYP– unknown – Interviewer Driven",Craft Co.,,manual_ground_truth_index,"Ground-truth Index of Practice Cases: exact page ranges, no heuristics.",
96e40dff-67a9-4c99-873d-2a123efb2e8a,Telecom Co.,Booth/Booth 2026.pdf,Booth,booth,2026,345,373,29,cases/Booth/Booth 2026/telecom-co.pdf,1.0,manual_override_booth_2026,False,,Profitability,MEDIUM,,,,"Interviewer Guidance
Case Development
Case Evaluation
Client Type
Industry
Case Type
S       O      A      R
1
2
1
2
1
2
1
2
Fit Evaluation
Overall Fit Performance
1. Framework
2. Brainstorm
3. Profitability analysis
4. Final recommendation
Case #45: Telecom Co. (1/8)
BAIN– unknown – Candidate Drive",Telecom Co.,,manual_ground_truth_index,"Ground-truth Index of Practice Cases: exact page ranges, no heuristics.; industry not extracted",
54a1d107-563e-43f4-a1a4-462bfafabbb0,Sticky Surfactants,Booth/Darden 2024.pdf,Booth,booth,2024,24,32,9,cases/Booth/Darden 2024/sticky-surfactants.pdf,1.0,manual_override_darden_2024,False,Industrials,Profitability,,,,,"Your client, CavalierChem, is a global chemicals manufacturer.  CavalierChem recently acquired a 
manufacturing facility that makes surfactants as part of a larger purchase of competitor assets.  
Surfactants are a specialty chemical used for a variety of purposes, including laundry detergent, 
and",Sticky Surfactants,,manual_ground_truth_index,"Ground-truth index: exact page ranges, no heuristics.",
5e1a11be-1562-4369-84db-f5d2c300eb1d,Pedal Pals,Booth/Darden 2024.pdf,Booth,booth,2024,33,42,10,cases/Booth/Darden 2024/pedal-pals.pdf,1.0,manual_override_darden_2024,False,Retail / CPG,M&A,,,,,"Pedal Pals is an interactive fitness platform with millions of members, offering connected, 
technology-enabled fitness classes that utilize its proprietary hardware, the Pedal Pal 
stationary bicycle. 
Recently the company has been challenged by a large, activist investor. The activist 
investor is",Pedal Pals,,manual_ground_truth_index,"Ground-truth index: exact page ranges, no heuristics.",
151f9f28-7c94-4288-a2b8-2daef54fd6ea,Seven Flags,Booth/Darden 2024.pdf,Booth,booth,2024,43,52,10,cases/Booth/Darden 2024/seven-flags.pdf,1.0,manual_override_darden_2024,False,Financial Services,Pricing,,,,,"Our client is a mid-size amusement park chain, with 10 parks around the U.S. 
serving over 10 million visitors each year. In their Richmond, VA park, it operates both 
a traditional thrill-ride section, as well as an animal experience. (Show park map.) 
Currently, the two sections are covered under",Seven Flags,,manual_ground_truth_index,"Ground-truth index: exact page ranges, no heuristics.",
b60292cb-f339-4a8f-9d66-6c6e29f18a36,Weasley's Wizarding Warehouse,Booth/Darden 2024.pdf,Booth,booth,2024,53,63,11,cases/Booth/Darden 2024/weasley-s-wizarding-warehouse.pdf,1.0,manual_override_darden_2024,False,Retail / CPG,Growth,,,,,"Fred and George Weasley operate a magic joke shop, Weasleys' Wizarding 
Warehouse (Weasleys’). They currently have a single storefront located in the Diagon 
Alley shopping district. This store primarily sells magic products used for pranks to 
young students that attend Hogwarts School of Witchcraf",Weasley's Wizarding Warehouse,,manual_ground_truth_index,"Ground-truth index: exact page ranges, no heuristics.",
9b131db3-cd09-40bc-a4b2-d3cce20ff5d9,Jane Darden's Ranch,Booth/Darden 2024.pdf,Booth,booth,2024,64,73,10,cases/Booth/Darden 2024/jane-darden-s-ranch.pdf,1.0,manual_override_darden_2024,False,Retail / CPG,Market Entry,,,,,"Your client is Jane Darden, a longtime owner, and operator of the Wahoo Cattle Ranch, 
which has been in the family since 1883. However, since the early 2000s, 
the Montana economy has experienced a dramatic shift in its local businesses and 
consumers. The ranch is now surrounded by high-end resort",Jane Darden's Ranch,,manual_ground_truth_index,"Ground-truth index: exact page ranges, no heuristics.",
